top1,top5,status,name,shape,target,quantize,num_core
0.74636,0.9205,succeed,resnet50-v1-7,1x3x224x224,bm1690,FP32,1.0
0.74636,0.9205,succeed,resnet50-v1-7_core8,1x3x224x224,bm1690,FP32,8.0
0.74448,0.91944,succeed,resnet50-v1-7,1x3x224x224,bm1690,INT8,1.0
0.74448,0.91944,succeed,resnet50-v1-7_core8,1x3x224x224,bm1690,INT8,8.0
0.74636,0.9205,succeed,resnet50-v1-7,4x3x224x224,bm1690,FP32,1.0
0.74636,0.9205,succeed,resnet50-v1-7_core8,4x3x224x224,bm1690,FP32,8.0
0.7437,0.91998,succeed,resnet50-v1-7,4x3x224x224,bm1690,INT8,1.0
0.7437,0.91998,succeed,resnet50-v1-7_core8,4x3x224x224,bm1690,INT8,8.0
0.74636,0.9205,succeed,resnet50-v1-7,8x3x224x224,bm1690,FP32,1.0
0.74636,0.9205,succeed,resnet50-v1-7_core8,8x3x224x224,bm1690,FP32,8.0
0.74418,0.92012,succeed,resnet50-v1-7,8x3x224x224,bm1690,INT8,1.0
0.74418,0.92012,succeed,resnet50-v1-7_core8,8x3x224x224,bm1690,INT8,8.0
0.84844,0.9743,succeed,swin_b,1x3x224x224,bm1690,F32,1.0
0.84844,0.9743,succeed,swin_b_core8,1x3x224x224,bm1690,F32,8.0
0.84844,0.97436,succeed,swin_b,1x3x224x224,bm1690,F16,1.0
0.84838,0.97434,succeed,swin_b_core8,1x3x224x224,bm1690,F16,8.0
0.84792,0.97442,succeed,swin_b,1x3x224x224,bm1690,BF16,1.0
0.84772,0.97456,succeed,swin_b_core8,1x3x224x224,bm1690,BF16,8.0
0.8399,0.97244,succeed,swin_b,1x3x224x224,bm1690,INT8,1.0
0.83984,0.97254,succeed,swin_b_core8,1x3x224x224,bm1690,INT8,8.0
0.8304,0.96842,succeed,swin_s,1x3x224x224,bm1690,F32,1.0
0.8304,0.96842,succeed,swin_s_core8,1x3x224x224,bm1690,F32,8.0
0.83054,0.96834,succeed,swin_s,1x3x224x224,bm1690,F16,1.0
0.8305,0.9684,succeed,swin_s_core8,1x3x224x224,bm1690,F16,8.0
0.8307,0.96846,succeed,swin_s,1x3x224x224,bm1690,BF16,1.0
0.83024,0.9684,succeed,swin_s_core8,1x3x224x224,bm1690,BF16,8.0
0.82694,0.96702,succeed,swin_s,1x3x224x224,bm1690,INT8,1.0
0.82632,0.96718,succeed,swin_s_core8,1x3x224x224,bm1690,INT8,8.0
0.85012,0.97418,succeed,ViT-L,1x3x224x224,bm1690,INT8,1.0
0.84942,0.97428,succeed,ViT-L_core8,1x3x224x224,bm1690,INT8,8.0
0.84962,0.97448,succeed,ViT-L,4x3x224x224,bm1690,INT8,1.0
0.84962,0.97448,succeed,ViT-L_core8,4x3x224x224,bm1690,INT8,8.0
0.84902,0.97438,succeed,ViT-L,8x3x224x224,bm1690,INT8,1.0
0.84902,0.97438,succeed,ViT-L_core8,8x3x224x224,bm1690,INT8,8.0
0.84928,0.97436,succeed,ViT-L,16x3x224x224,bm1690,INT8,1.0
0.84928,0.97436,succeed,ViT-L_core8,16x3x224x224,bm1690,INT8,8.0
0.81622,0.9559,succeed,deit_base,1x3x224x224,bm1690,FP32,1.0
0.81622,0.9559,succeed,deit_base_core8,1x3x224x224,bm1690,FP32,8.0
0.7956,0.94852,succeed,deit_small,1x3x224x224,bm1690,FP32,1.0
0.7956,0.94852,succeed,deit_small_core8,1x3x224x224,bm1690,FP32,8.0
0.71888,0.90908,succeed,deit_tiny,1x3x224x224,bm1690,FP32,1.0
0.71888,0.90908,succeed,deit_tiny_core8,1x3x224x224,bm1690,FP32,8.0
0.71892,0.90922,succeed,deit_tiny,1x3x224x224,bm1690,FP16,1.0
0.7189,0.90912,succeed,deit_tiny_core8,1x3x224x224,bm1690,FP16,8.0
0.71864,0.90944,succeed,deit_tiny,1x3x224x224,bm1690,BF16,1.0
0.7188,0.90922,succeed,deit_tiny_core8,1x3x224x224,bm1690,BF16,8.0
